CustomerKey,FirstName,MiddleName,LastName,Gender,HouseOwnerFlag
11000,Jon,V,Yang,M,1
11001,Eugene,L,Huang,M,0
11002,Ruben,,Torres,M,1
11003,Christy,,Zhu,F,0
11004,Elizabeth,,Johnson,F,1
11005,Julio,,Ruiz,M,1
11006,Janet,G,Alvarez,F,1
11007,Marco,,Mehta,M,1
11008,Rob,,Verhoff,F,1
11009,Shannon,C,Carlson,M,0
11010,Jacquelyn,C,Suarez,F,0
11011,Curtis,,Lu,M,1
11012,Lauren,M,Walker,F,1
11013,Ian,M,Jenkins,M,1
11014,Sydney,,Bennett,F,0
11015,Chloe,,Young,F,0
11016,Wyatt,L,Hill,M,1
11017,Shannon,,Wang,F,1
11018,Clarence,D,Rai,M,1
11019,Luke,L,Lal,M,0
11020,Jordan,C,King,M,0
11021,Destiny,,Wilson,F,0
11022,Ethan,G,Zhang,M,1
11023,Seth,M,Edwards,M,1
11024,Russell,,Xie,M,1
11025,Alejandro,,Beck,M,1
11026,Harold,,Sai,M,0
11027,Jessie,R,Zhao,M,1
11028,Jill,,Jimenez,F,1
11029,Jimmy,L,Moreno,M,1
11030,Bethany,G,Yuan,F,1
11031,Theresa,G,Ramos,F,1
11032,Denise,,Stone,F,1
11033,Jaime,,Nath,M,1
11034,Ebony,,Gonzalez,F,1
11035,Wendy,,Dominguez,F,1
11036,Jennifer,C,Russell,F,1
11037,Chloe,M,Garcia,F,0
11038,Diana,F,Hernandez,F,1
11039,Marc,J,Martin,M,1
11040,Jesse,,Murphy,M,1
11041,Amanda,M,Carter,F,1
11042,Megan,J,Sanchez,F,1
11043,Nathan,M,Simmons,M,1
11044,Adam,L,Flores,M,1
11045,Leonard,G,Nara,M,0
11046,Christine,,Yuan,F,1
11047,Jaclyn,D,Lu,F,0
11048,Jeremy,,Powell,M,1
11049,Carol,C,Rai,F,1
11050,Alan,,Zheng,M,1
11051,Daniel,,Johnson,M,0
11052,Heidi,,Lopez,F,0
11053,Ana,E,Price,F,0
11054,Deanna,,Munoz,F,1
11055,Gilbert,,Raje,M,1
11056,Michele,L,Nath,F,1
11057,Carl,J,Andersen,M,1
11058,Marc,,Diaz,M,1
11059,Ashlee,J,Andersen,F,1
11060,Jon,L,Zhou,M,1
11061,Todd,M,Gao,M,1
11062,Noah,D,Powell,M,1
11063,Angela,,Murphy,F,1
11064,Chase,,Reed,M,1
11065,Jessica,,Henderson,F,0
11066,Grace,T,Butler,F,1
11067,Caleb,F,Carter,M,1
11068,Tiffany,,Liang,F,1
11069,Carolyn,,Navarro,F,0
11070,Willie,T,Raji,M,1
11071,Linda,,Serrano,F,1
11072,Casey,,Luo,F,0
11073,Amy,,Ye,F,1
